Long	Lat	sat_min	sat_max	pptn_min	pptn_max	npp
-67.544	0.21	25.2913	26.2917	586.6727	966.8525	881.3451
-67.914	0.21	25.0759	26.0932	680.5422	1030.3429	852.0512
-70.79	0	24.9467	26.2796	597.0740	947.2594	858.8823
-71.628	0.211	25.1593	26.7462	451.4054	936.0875	902.7668
-72	0.211	25.2131	26.8800	411.6964	928.4268	952.7209
-73.489	-0.106	24.8749	26.6516	357.7097	922.1715	1102.1116
-76.089	0	24.4010	25.7682	601.7320	1113.2540	1407.2766
-77.563	0.21	19.9946	20.5136	448.0614	735.2130	1301.9271
-77.932	0.21	8.3406	9.3153	203.0181	316.0487	894.7135
-78.3	0.21	12.0258	12.4090	112.7223	321.6370	875.4775
-78.667	0.21	19.1579	19.7963	141.3873	783.3491	1281.5569
-56.21	-0.102	25.3050	26.7317	324.3693	1056.6030	904.2292
-58.652	-0.103	25.5561	26.8179	301.5014	892.3788	902.9061
-61.144	-0.104	26.2348	27.3018	332.8427	882.6815	883.9011
-63.586	-0.105	26.0055	26.8429	436.9697	962.2828	955.8370
-66.34	-0.053	25.8355	26.7006	452.0381	774.5071	945.5203
-67.358	0.105	25.3293	26.3538	555.9839	924.0429	837.2399
-67.728	0.105	25.1586	26.1624	629.2428	981.0288	853.3502
-68.098	0.105	24.9524	25.9815	702.4104	1056.4534	829.4398
-68.469	0.105	24.8866	25.9259	710.5063	1079.1580	832.5566
-68.745	-0.106	24.8320	25.8666	696.2322	1031.2720	850.5244
-71.442	0.105	25.1388	26.6660	487.5214	933.3964	885.2875
-72	-0.159	25.1854	26.7298	455.7619	900.7890	925.2655
-73.955	-0.106	24.7749	26.5578	360.2620	963.2394	1168.0615
-76.646	-0.106	24.2677	25.4625	691.6013	1096.3721	1447.8754
-77.75	0.105	13.6701	14.3873	271.6259	431.8921	708.4333
-78.118	0.105	10.1460	10.7038	124.5172	314.8770	813.1770
-78.486	0.105	15.5954	15.9854	86.5497	425.0434	903.6116
-79.131	-0.105	22.2967	23.5909	171.3991	1342.8585	992.6050
-79.776	-0.157	23.8022	25.3012	62.2931	1018.5667	702.3037
-56.724	-0.204	25.8110	27.1978	338.9992	1063.5367	892.5837
-59.178	-0.206	26.0249	27.2819	315.4701	864.5236	868.4593
-61.592	-0.208	26.1366	27.1241	364.5687	917.0930	856.7458
-64.227	-0.105	26.0732	26.8726	474.9535	976.1287	972.8314
-66.802	0	25.5380	26.4955	522.6819	859.0351	902.7714
-67.171	0	25.2538	26.2857	552.5263	890.4807	826.5230
-67.448	-0.105	25.1735	26.1946	590.7568	932.4288	897.7145
-67.818	-0.053	25.0113	26.0259	653.1866	990.4218	896.5032
-68.282	0	24.8939	25.9255	709.7927	1065.4599	844.1780
-68.653	0	24.8851	25.9241	704.8656	1059.2286	849.8695
-69.394	-0.211	24.7871	25.8371	672.9554	991.5248	833.0752
-71.441	-0.159	25.0977	26.5425	516.1275	917.8834	868.1928
-74.607	-0.211	24.6800	26.4372	389.2354	1003.5110	1260.1730
-77.293	-0.211	22.7734	23.6883	652.3636	1049.1012	1431.9493
-77.567	0	18.9762	19.5041	448.7298	805.8877	1230.0218
-77.936	0	6.5681	7.5616	233.3954	325.2478	590.0348
-78.304	0	13.8653	14.1813	76.4286	297.5185	437.9252
-78.672	0	15.8748	16.4395	168.1937	729.5511	1267.5981
-54.829	-0.303	24.0063	25.5172	277.4837	1024.6201	866.1589
-57.24	-0.307	25.8799	27.2360	334.7600	1050.8422	888.1308
-59.706	-0.31	25.8943	27.0866	336.8376	847.9539	842.5967
-61.864	-0.104	26.0887	27.0635	341.5830	895.0443	857.8653
-62.216	-0.365	25.9642	26.8656	404.5187	960.2239	867.0983
-64.683	-0.21	26.0560	26.8284	483.6790	899.7570	960.4455
-66.985	-0.105	25.3616	26.3959	541.8779	861.7882	849.1302
-68.095	-0.105	24.8770	25.8984	693.2826	1035.1288	903.2953
-69.951	-0.37	24.9844	26.0834	642.2361	959.7935	842.9221
-72.559	-0.317	24.9079	26.5140	422.4342	885.8733	1009.0304
-72.931	-0.106	24.9701	26.6757	377.2870	893.4688	1060.4091
-74.42	-0.106	24.7049	26.4823	368.3750	1014.2786	1239.8346
-75.165	-0.317	24.5669	26.1996	422.8849	970.0053	1304.8316
-77.754	-0.105	14.6857	15.3604	313.6655	533.2248	931.0252
-78.124	-0.21	6.5889	7.5582	210.8224	309.9937	697.3517
