T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
616.953	490.273	789.588	791.301	687.891	701.790	736.805	850.266	572.288	1022.544	947.954	755.461	802.736	722.884	667.304	789.617	740.584	952.010	448.073	571.851	781.295	744.653	713.907	651.717	737.941	636.726	671.110	792.974	643.980	557.072	490.671	762.917	643.601	678.344	663.231	653.896	773.118	431.607	1022.803	785.890	620.738	711.777	667.625	751.842	671.626	673.584	720.354	680.715	744.862	542.386	1048.675
601.611	488.416	766.327	771.674	667.938	680.128	713.319	822.945	564.421	997.455	925.742	738.385	779.916	703.214	649.992	765.961	721.486	927.948	449.958	561.251	760.113	723.174	695.028	635.236	716.951	620.874	660.469	775.512	625.046	551.115	488.930	742.699	627.985	658.704	645.957	633.113	747.994	432.144	996.011	769.972	605.857	691.489	651.023	733.619	653.386	655.426	701.357	660.428	719.953	537.756	1021.181
597.346	504.506	748.513	757.677	652.080	661.067	692.029	798.124	574.422	975.476	908.056	732.682	764.170	689.781	637.414	745.301	707.680	908.906	471.889	564.955	745.488	710.401	681.729	624.969	700.229	609.771	663.684	764.761	614.568	560.333	504.832	727.300	618.546	643.811	632.308	615.909	722.163	453.647	970.442	765.514	602.481	677.437	644.948	721.436	640.352	643.526	687.385	643.964	695.105	552.238	994.107
390.180	344.672	479.351	488.329	417.337	420.796	439.478	506.647	386.040	625.671	584.557	478.227	491.251	444.031	410.199	475.052	455.540	584.069	327.677	374.967	479.810	458.113	438.834	403.775	448.389	393.125	439.633	495.491	396.750	376.169	344.744	467.240	400.182	412.629	406.016	392.473	455.842	315.325	619.596	500.815	394.245	435.423	420.146	465.850	411.781	414.740	442.043	411.524	438.771	374.874	634.031
583.599	542.617	699.872	718.667	608.862	609.723	634.906	731.564	596.787	915.313	859.045	714.677	720.662	652.489	602.559	689.514	669.384	856.441	524.908	571.480	704.917	674.634	644.831	595.996	654.599	578.779	668.537	733.921	585.056	580.841	542.474	684.891	591.703	603.060	594.789	569.451	653.456	505.640	901.244	750.517	590.955	638.634	626.411	687.178	604.319	610.327	648.767	599.250	628.994	586.035	921.008
708.892	956.158	670.446	725.486	676.193	642.732	564.696	611.722	796.134	1123.614	986.505	658.284	616.843	755.557	700.438	561.167	816.255	1208.830	852.451	857.553	649.359	652.082	567.105	604.621	676.551	631.573	1051.771	721.513	758.930	863.774	919.145	525.965	663.297	657.989	605.575	499.081	526.148	948.366	1029.642	718.453	878.585	626.845	778.320	644.662	547.446	611.654	757.259	526.152	515.676	1068.334	973.081
505.479	667.696	575.203	678.512	656.575	597.930	512.477	541.174	547.089	1073.680	890.106	492.740	563.603	709.933	665.629	523.418	749.398	1136.249	568.105	576.040	557.490	532.528	526.862	553.224	655.647	642.550	822.930	647.520	565.443	640.663	617.733	492.550	614.032	650.568	592.350	425.728	520.936	594.379	968.517	559.386	608.877	568.735	562.851	598.912	507.340	613.776	712.439	487.531	479.215	766.609	937.045
295.356	375.626	442.912	573.773	575.782	502.590	419.666	431.083	297.348	929.884	727.455	313.236	465.310	603.304	571.633	441.161	622.006	968.275	288.708	297.287	429.746	384.501	442.951	456.867	574.019	587.018	562.057	525.245	356.430	402.793	320.207	417.345	513.372	580.055	522.682	324.428	464.635	257.448	826.011	378.153	336.541	465.992	337.084	503.225	424.468	554.207	605.985	407.959	401.936	453.981	817.426
281.828	349.105	475.637	635.165	643.953	555.776	460.717	468.817	271.913	1032.362	793.643	311.742	511.590	668.484	635.805	488.395	684.256	1070.155	252.912	264.135	461.550	404.306	489.247	502.831	641.676	664.616	574.373	573.132	353.453	396.582	283.507	462.288	566.907	651.770	586.185	348.444	522.897	199.940	913.425	386.608	311.176	511.183	326.004	555.920	469.198	625.382	671.932	450.840	444.954	434.269	909.999
297.024	280.090	536.550	701.893	711.164	642.529	542.170	561.788	232.469	1087.981	858.602	309.190	608.041	722.467	712.357	561.523	739.038	1120.176	184.223	193.455	573.720	422.806	573.518	552.293	712.463	778.927	526.119	624.224	355.574	365.010	195.396	526.135	610.185	712.172	672.836	397.567	633.393	97.294	1015.990	368.450	265.512	637.600	321.521	629.015	520.723	733.508	747.888	511.969	547.718	337.275	1012.411
250.227	148.560	468.813	592.401	597.502	571.737	493.004	521.946	144.383	861.639	708.507	236.030	558.190	592.748	610.336	496.469	607.477	880.615	78.648	83.028	554.089	339.424	518.040	463.916	602.607	698.238	347.322	519.984	277.507	247.997	66.045	459.591	498.923	589.467	591.201	352.286	588.979	0.000	863.515	261.048	163.121	614.315	246.818	546.350	442.247	658.716	636.365	446.694	520.141	159.568	858.656
322.626	192.267	495.865	540.807	514.580	515.972	496.070	552.884	233.542	736.750	643.539	357.371	541.775	518.835	509.212	511.337	529.554	720.594	139.648	210.575	533.296	413.817	487.900	434.202	534.328	540.243	357.094	502.327	350.140	271.542	153.646	476.788	443.439	505.895	501.525	398.683	558.050	91.028	751.085	371.121	275.220	538.871	336.154	507.309	435.450	538.050	539.656	447.611	518.195	213.818	757.898
540.585	348.363	736.541	728.374	664.403	682.895	707.712	812.067	444.143	949.331	862.190	639.029	755.443	684.101	634.913	742.958	693.415	899.234	286.258	453.030	730.448	676.899	664.436	599.048	704.772	618.223	552.217	704.227	585.573	434.225	336.124	696.659	592.034	654.744	629.857	615.840	755.789	271.283	963.801	652.980	525.697	687.874	580.510	687.462	621.354	652.895	684.332	642.330	727.063	401.557	984.610
789.576	560.324	1029.151	1004.699	893.750	919.920	970.756	1121.792	692.827	1292.600	1192.145	952.433	1041.624	931.473	852.791	1029.871	945.634	1210.457	489.249	709.083	1006.014	970.431	915.415	831.180	955.649	809.064	816.450	991.699	842.678	660.042	559.635	977.553	816.056	881.713	847.121	862.520	1019.410	482.060	1303.611	977.023	790.703	923.959	853.127	952.114	864.655	867.103	922.763	888.170	987.932	637.983	1336.018
618.339	481.754	794.279	792.316	691.611	706.767	742.732	857.321	567.812	1023.235	947.679	755.259	806.801	725.648	668.923	794.500	742.268	953.537	436.991	569.834	784.190	748.914	716.041	653.001	741.506	637.621	666.694	791.863	648.103	550.823	481.999	765.146	644.209	682.035	664.819	659.229	779.569	422.354	1025.043	783.795	621.605	715.433	669.003	752.436	674.112	676.026	722.405	684.922	751.845	535.486	1050.927
535.506	448.011	669.242	674.099	582.344	590.645	618.683	713.713	513.494	865.118	805.354	653.927	683.383	615.956	567.796	665.275	630.304	808.007	417.942	505.469	665.520	636.867	607.913	557.269	624.883	542.693	590.375	679.001	551.842	497.990	448.001	647.904	550.953	575.348	562.664	551.543	644.273	403.958	861.074	681.291	539.803	605.849	577.313	641.877	571.435	574.759	612.545	575.463	621.231	492.325	881.592
551.480	481.130	677.278	686.500	589.081	594.537	621.417	716.588	542.752	877.499	819.581	673.350	693.952	626.346	577.376	670.535	641.103	820.752	455.740	528.221	676.663	648.355	618.245	568.621	632.462	552.812	616.338	694.950	562.250	526.298	480.978	657.811	562.952	582.706	571.084	555.586	643.736	440.488	869.738	703.242	556.848	615.125	593.212	654.799	580.570	585.059	622.456	581.295	620.619	525.334	889.656
619.344	566.351	744.972	760.920	647.628	649.690	677.254	780.595	627.880	967.965	907.679	756.140	766.471	692.964	638.807	733.922	709.535	906.917	545.176	603.321	748.525	718.271	684.117	631.708	695.796	612.917	703.218	774.899	623.472	608.798	565.999	726.436	626.446	641.552	630.425	607.657	697.036	526.895	954.517	791.986	626.614	679.282	664.487	727.261	641.654	648.088	688.115	637.961	671.864	614.092	975.303
741.131	972.136	685.862	727.852	676.094	651.831	580.454	623.657	823.460	1083.092	973.835	677.524	627.552	754.404	701.842	575.064	815.111	1173.162	876.851	885.227	665.878	666.717	577.684	613.544	678.786	634.279	1051.302	727.652	777.872	885.029	935.692	540.481	666.313	656.689	612.564	519.095	536.131	974.539	1010.125	731.144	908.739	640.313	802.663	652.275	559.213	615.016	758.497	539.651	532.922	1080.022	950.228
671.776	897.011	655.723	719.606	674.804	636.968	557.985	600.363	747.871	1111.315	967.999	627.873	610.418	749.105	696.297	557.670	805.154	1192.895	795.783	802.505	635.340	631.419	563.276	597.351	675.580	637.151	1004.986	710.038	721.913	821.068	856.560	524.113	656.197	659.098	606.584	487.365	528.985	875.466	1018.669	689.047	827.207	619.167	737.653	639.330	542.739	615.505	751.268	521.744	512.694	1006.610	966.754
