T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
16.940	16.077	16.378	15.938	15.442	15.310	15.625	15.927	16.601	16.865	18.067	16.566	16.392	15.979	15.317	16.181	15.688	16.946	17.592	16.911	15.985	16.796	16.454	15.648	15.893	15.408	17.141	16.487	16.912	16.671	16.672	17.419	15.533	16.388	15.460	15.550	15.485	16.533	17.370	16.564	16.381	16.059	17.253	16.130	15.492	15.622	15.601	15.567	15.108	17.739	16.991
13.948	13.116	13.546	13.029	12.405	12.368	12.644	12.872	13.624	13.792	14.960	13.540	13.412	12.882	12.406	13.218	12.740	14.080	14.497	13.856	13.075	13.801	13.419	12.605	12.888	12.435	14.224	13.566	13.778	13.817	13.557	14.329	12.493	13.305	12.500	12.579	12.515	13.422	14.540	13.567	13.566	13.059	14.130	13.212	12.460	12.623	12.648	12.595	12.129	14.534	14.133
22.331	21.565	22.090	21.496	20.849	20.801	21.038	21.266	22.063	22.152	23.228	21.843	21.807	21.231	20.870	21.631	21.167	22.590	22.776	22.176	21.540	22.181	21.777	21.009	21.308	20.837	22.682	22.021	22.018	22.338	21.805	22.613	20.856	21.597	20.916	20.984	20.920	21.771	23.084	22.022	22.127	21.462	22.383	21.670	20.923	21.065	21.071	20.999	20.552	22.703	22.650
20.081	19.379	20.000	19.328	18.659	18.601	18.799	19.033	19.868	19.879	20.863	19.776	19.569	18.994	18.701	19.410	18.961	20.466	20.423	19.863	19.372	19.927	19.501	18.808	19.094	18.606	20.506	19.841	19.625	20.225	19.617	20.265	18.703	19.255	18.698	18.754	18.692	19.509	20.995	19.842	20.053	19.232	20.002	19.494	18.756	18.874	18.859	18.768	18.342	20.239	20.534
26.167	26.520	26.179	26.746	25.651	26.047	25.890	25.179	27.276	26.464	27.427	25.916	26.547	25.702	25.899	26.847	26.073	26.472	26.821	25.891	27.421	25.392	26.585	25.387	25.868	26.427	26.057	28.264	24.763	27.170	25.365	27.539	25.307	25.121	26.323	25.517	26.137	26.130	27.231	26.680	26.057	26.436	25.387	27.393	25.584	26.406	25.891	25.815	25.226	25.707	26.718
27.343	27.638	26.058	27.793	26.765	27.142	27.549	26.963	28.334	28.107	29.788	27.249	28.022	27.125	26.911	28.270	27.367	26.447	28.963	28.008	28.278	26.649	28.377	26.789	27.171	27.738	26.726	29.125	27.252	26.933	27.365	29.445	26.550	27.166	27.634	27.006	27.657	27.731	26.970	27.979	25.718	27.825	27.875	28.399	26.548	27.381	27.172	27.396	26.734	28.425	26.772
29.388	29.651	27.068	29.748	28.772	29.137	29.991	29.503	30.293	30.531	32.786	29.434	30.316	29.388	28.840	30.523	29.518	27.522	31.784	30.813	30.081	28.754	30.929	29.028	29.328	29.899	28.362	30.935	30.422	27.847	30.174	32.085	28.663	29.905	29.799	29.315	29.985	30.212	27.869	30.136	26.549	30.051	30.972	30.324	28.440	29.277	29.315	29.773	29.052	31.695	27.920
29.304	29.541	26.699	29.623	28.663	29.022	30.003	29.545	30.174	30.544	32.957	29.373	30.288	29.498	28.707	30.483	29.449	27.185	31.912	30.928	29.912	28.694	30.967	28.983	29.261	29.836	28.172	30.765	30.698	27.455	30.345	32.149	28.581	30.012	29.733	29.288	29.967	30.349	27.467	30.067	26.135	30.090	31.174	30.188	28.305	29.137	29.241	29.770	29.034	31.960	27.591
28.635	28.587	25.346	28.379	27.779	27.914	29.089	28.751	29.109	30.300	32.520	28.497	29.643	29.199	27.543	29.481	28.372	26.077	31.395	30.720	28.610	28.027	30.126	28.015	28.537	28.770	27.262	29.381	30.927	25.947	30.201	31.638	27.882	29.758	28.650	28.402	28.977	30.081	26.080	28.995	24.766	29.663	31.010	28.916	27.730	28.072	28.202	28.885	27.991	32.038	26.250
30.207	29.959	26.264	29.354	29.326	29.019	30.368	30.150	30.425	32.154	34.266	29.976	31.231	30.919	28.795	30.679	29.520	27.252	33.069	32.778	29.522	29.596	31.706	29.358	30.176	29.908	28.606	30.206	33.166	26.707	32.068	33.334	29.330	31.721	29.771	29.756	30.184	31.826	26.971	30.355	25.681	31.241	33.041	29.852	29.182	29.495	29.371	30.200	29.322	34.316	27.170
