T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
828.946	1134.289	853.549	1132.562	1070.988	1026.574	1019.046	1026.446	1097.541	1109.811	951.793	1108.138	1081.836	1072.478	1074.222	1013.921	1053.470	895.294	872.933	1029.091	1117.701	871.448	1032.984	1043.246	1078.211	1027.964	914.242	1107.793	929.569	867.974	1133.763	862.347	1078.269	842.589	1002.956	1043.889	1035.487	1158.448	867.270	1155.561	872.746	1082.234	903.948	1082.707	1107.204	1070.393	1009.149	1002.467	1033.286	866.305	857.432
687.379	933.229	705.035	932.352	881.661	845.056	841.335	848.655	907.244	917.955	792.977	916.806	893.369	884.251	883.943	837.804	867.430	736.426	725.481	851.954	918.658	723.017	853.069	861.023	888.110	843.349	757.452	911.091	772.028	710.107	934.412	714.453	886.367	698.935	824.601	862.114	852.705	953.806	713.098	952.570	717.283	889.282	750.500	892.219	912.376	881.895	832.315	828.353	849.727	722.366	704.578
657.703	875.826	667.489	875.031	828.561	794.243	794.896	803.294	857.911	869.150	762.147	867.791	843.937	833.250	829.617	793.093	815.847	688.048	696.543	809.120	860.201	690.038	805.906	812.257	835.488	789.408	719.683	854.496	738.413	661.000	879.485	682.782	830.695	668.926	773.992	814.386	801.519	896.434	668.297	896.007	671.361	834.566	718.906	839.065	857.488	829.622	784.960	784.004	797.243	696.952	658.604
611.450	799.285	614.341	798.585	757.159	725.871	730.158	739.182	788.697	800.012	711.522	798.521	775.097	763.448	757.155	729.857	746.128	625.178	649.639	746.930	783.288	639.972	740.203	745.009	764.259	718.580	664.647	779.325	686.236	598.403	804.895	634.042	757.073	622.029	706.451	747.936	732.598	819.248	609.060	819.510	611.089	761.617	669.054	767.273	783.647	758.876	719.782	721.368	727.376	652.980	598.704
826.177	1061.060	822.231	1060.162	1006.438	964.941	975.388	989.119	1054.428	1070.812	965.148	1068.510	1035.282	1017.376	1005.186	976.722	992.530	826.406	880.406	1002.540	1037.582	862.768	988.720	993.823	1016.865	951.556	892.459	1033.925	926.913	788.166	1071.433	855.785	1003.705	840.653	937.952	998.977	973.981	1089.052	807.463	1090.238	809.170	1011.038	904.900	1020.542	1041.713	1009.680	959.928	965.201	965.349	888.665	791.769
845.202	763.593	871.728	790.367	810.443	806.782	817.173	812.371	819.427	796.651	868.286	812.650	818.432	806.656	802.739	819.986	790.931	888.337	838.304	817.502	797.098	848.848	843.633	808.580	811.760	806.429	859.807	812.786	824.512	869.018	746.346	837.594	779.749	848.619	820.594	800.300	836.371	750.774	864.085	784.152	874.810	790.666	832.059	810.635	789.665	814.919	808.385	821.520	810.594	837.584	869.065
710.088	678.158	774.415	722.906	694.526	708.912	704.000	686.431	712.082	619.768	720.966	678.449	694.912	667.644	714.227	710.765	690.281	876.187	703.266	636.477	764.071	645.946	764.961	694.061	700.194	744.813	698.482	780.317	580.949	883.284	601.201	716.125	700.937	654.411	761.603	659.049	779.125	606.035	884.691	702.178	838.094	717.895	612.959	760.017	682.806	722.579	700.155	694.787	745.875	574.669	881.584
660.525	668.079	754.701	727.679	659.773	688.975	671.781	643.684	684.441	535.367	662.269	629.011	654.257	614.093	701.919	681.693	668.162	923.970	654.514	549.134	796.782	541.103	761.134	660.934	669.031	754.666	627.017	813.563	443.618	953.412	542.805	677.857	696.758	556.654	773.669	603.864	792.675	547.953	959.724	695.354	866.537	718.559	495.788	778.587	655.386	707.006	671.900	651.475	753.122	421.641	950.159
584.720	603.431	687.483	666.550	588.592	621.499	600.965	570.311	614.951	451.445	583.262	553.832	581.257	538.087	636.344	611.785	600.023	876.015	578.180	463.983	742.988	451.165	697.298	589.632	598.725	694.495	546.139	759.782	344.757	910.204	465.371	604.925	633.000	468.589	713.971	527.289	733.339	470.635	918.129	630.978	812.905	656.173	401.697	720.932	586.127	640.778	602.163	577.883	692.397	318.674	906.686
622.344	701.647	740.075	740.471	683.391	698.543	664.735	639.763	679.338	585.605	591.762	637.550	661.318	644.436	715.150	667.246	687.679	926.226	591.315	574.230	795.799	556.209	725.035	663.978	686.788	764.598	640.826	804.286	463.026	963.327	614.091	623.620	720.077	541.418	764.853	618.357	766.907	627.086	942.982	715.339	872.205	732.931	500.357	763.848	679.530	712.925	674.417	643.048	745.657	423.429	950.353
